TimeGenerated [UTC],OperationName,CorrelationId,Region,IsRequestSuccess,Category,TotalTime,CallerIpAddress,Method,Url,ClientProtocol,ResponseCode,BackendMethod,BackendUrl,BackendResponseCode,BackendProtocol,RequestSize,ResponseSize,Cache,BackendTime
"7/30/2024, 4:48:18.896 PM",Microsoft.ApiManagement/GatewayLogs,322753f6-fd0c-4bef-9665-2be297f5c6ae,East US,TRUE,GatewayLogs,1629,66.183.185.139,POST,https://c2e-prod-devices.azure-api.net/v1/doverfs.com/gds/stamp/v1/tenent/devices/00688476-9040-d797-8cdd-1f27d1ff315d/requests,HTTP/1.1,200,POST,https://api.dfsdx.com/v1/doverfs.com/gds/stamp/v1/tenent/devices/00688476-9040-d797-8cdd-1f27d1ff315d/requests,200,HTTP/1.1,4845,223,none,1392
"7/30/2024, 4:48:19.803 PM",Microsoft.ApiManagement/GatewayLogs,6d97466a-fa6d-4fb3-8fa2-318f22b4a1f2,East US,TRUE,GatewayLogs,859,166.147.168.34,POST,https://c2e-prod-devices.azure-api.net/v1/doverfs.com/gds/stamp/v1/tenent/devices/16963e9d-93f2-92af-c1e2-b90cdac7e5c6/requests,HTTP/1.1,204,POST,https://api.dfsdx.com/v1/doverfs.com/gds/stamp/v1/tenent/devices/16963e9d-93f2-92af-c1e2-b90cdac7e5c6/requests,204,HTTP/1.1,691,157,none,576
"7/30/2024, 4:48:21.880 PM",Microsoft.ApiManagement/GatewayLogs,4fdb7b93-f575-4d16-9b70-a01c1f35d4ea,East US,TRUE,GatewayLogs,198,161.247.128.1,PUT,https://c2e-prod-devices.azure-api.net/iep/devices/301d7335-7c1a-cd03-65b1-925852e85478,HTTP/1.1,201,PUT,https://c2e-prod-funcapp-iep.azurewebsites.net/api/devices/301d7335-7c1a-cd03-65b1-925852e85478,201,HTTP/1.1,648,351,none,62
"7/30/2024, 4:48:21.865 PM",Microsoft.ApiManagement/GatewayLogs,0683901d-3ec6-4c34-8878-3434434a7024,East US,TRUE,GatewayLogs,227,96.61.14.56,PUT,https://c2e-prod-devices.azure-api.net/iep/devices/687f5dc0-3bd5-2e3c-6713-b1c325ad69c1,HTTP/1.1,201,PUT,https://c2e-prod-funcapp-iep.azurewebsites.net/api/devices/687f5dc0-3bd5-2e3c-6713-b1c325ad69c1,201,HTTP/1.1,643,363,none,63
"7/30/2024, 4:48:21.896 PM",Microsoft.ApiManagement/GatewayLogs,29cc764c-b16e-499e-bed9-aabcf421366b,East US,TRUE,GatewayLogs,211,161.247.128.1,PUT,https://c2e-prod-devices.azure-api.net/iep/devices/bd56d920-5cb8-585b-931b-df47b8448b39,HTTP/1.1,201,PUT,https://c2e-prod-funcapp-iep.azurewebsites.net/api/devices/bd56d920-5cb8-585b-931b-df47b8448b39,201,HTTP/1.1,648,351,none,73
"7/30/2024, 4:48:23.521 PM",Microsoft.ApiManagement/GatewayLogs,674753ad-04b3-47fe-a4ae-0d102071c74b,East US,FALSE,GatewayLogs,146,165.225.36.249,PUT,https://c2e-prod-devices.azure-api.net/iep/devices/0413323b-734a-5bc3-caa8-acf77ae60240,HTTP/1.1,403,,,,,,105,none,
"7/30/2024, 4:48:23.755 PM",Microsoft.ApiManagement/GatewayLogs,8204e246-dc8c-4fcb-99d7-6e3da37ce4be,East US,TRUE,GatewayLogs,334,64.147.37.216,POST,https://c2e-prod-devices.azure-api.net/v1/doverfs.com/gds/stamp/v1/tenent/devices/b496dae4-15b1-1508-70c0-91987638153a/requests,HTTP/1.1,200,POST,https://api.dfsdx.com/v1/doverfs.com/gds/stamp/v1/tenent/devices/b496dae4-15b1-1508-70c0-91987638153a/requests,200,HTTP/1.1,707,185,none,140
"7/30/2024, 4:48:24.193 PM",Microsoft.ApiManagement/GatewayLogs,15f9c179-0497-4185-9f25-00c5c44cb111,East US,TRUE,GatewayLogs,546,156.44.152.242,POST,https://c2e-prod-devices.azure-api.net/v1/doverfs.com/gds/stamp/v1/tenent/devices/8316290e-853b-1cf6-9f09-adb30e02cb91/requests,HTTP/1.1,204,POST,https://api.dfsdx.com/v1/doverfs.com/gds/stamp/v1/tenent/devices/8316290e-853b-1cf6-9f09-adb30e02cb91/requests,204,HTTP/1.1,691,157,none,134
"7/30/2024, 4:48:25.744 PM",Microsoft.ApiManagement/GatewayLogs,e210e099-ec4d-44dc-9912-64af29cf1449,East US,TRUE,GatewayLogs,165,67.253.38.50,PUT,https://c2e-prod-devices.azure-api.net/iep/devices/ed0fc298-9224-68b1-d0d1-2ff88dbe7765,HTTP/1.1,201,PUT,https://c2e-prod-funcapp-iep.azurewebsites.net/api/devices/ed0fc298-9224-68b1-d0d1-2ff88dbe7765,201,HTTP/1.1,644,363,none,70
"7/30/2024, 4:48:25.853 PM",Microsoft.ApiManagement/GatewayLogs,80cc5115-d57d-4427-add9-b2b16a18ddd0,East US,TRUE,GatewayLogs,268,165.225.16.212,PUT,https://c2e-prod-devices.azure-api.net/iep/devices/e249b8da-65c7-887a-f457-82054eeea455,HTTP/1.1,201,PUT,https://c2e-prod-funcapp-iep.azurewebsites.net/api/devices/e249b8da-65c7-887a-f457-82054eeea455,201,HTTP/1.1,652,363,none,48
"7/30/2024, 4:48:27.728 PM",Microsoft.ApiManagement/GatewayLogs,c22a86d7-36f5-43ed-ad8e-164dbd72ab61,East US,TRUE,GatewayLogs,131,32.216.141.229,PUT,https://c2e-prod-devices.azure-api.net/iep/devices/8b4f1504-c0dc-a05d-37bf-e45e6b832b1e,HTTP/1.1,201,PUT,https://c2e-prod-funcapp-iep.azurewebsites.net/api/devices/8b4f1504-c0dc-a05d-37bf-e45e6b832b1e,201,HTTP/1.1,657,359,none,79
"7/30/2024, 4:48:28.932 PM",Microsoft.ApiManagement/GatewayLogs,7e9a24de-2761-40e3-ba80-13ede7a3aa6d,East US,TRUE,GatewayLogs,145,70.28.27.102,POST,https://c2e-prod-devices.azure-api.net/v1/doverfs.com/gds/stamp/v1/tenent/devices/b5dd0fbb-b916-4a05-0e89-62050b6e9701/requests,HTTP/1.1,200,POST,https://api.dfsdx.com/v1/doverfs.com/gds/stamp/v1/tenent/devices/b5dd0fbb-b916-4a05-0e89-62050b6e9701/requests,200,HTTP/1.1,1008,189,none,40
"7/30/2024, 4:48:29.025 PM",Microsoft.ApiManagement/GatewayLogs,cf31505a-c828-45f5-8208-87e828c8cf4e,East US,TRUE,GatewayLogs,1308,156.44.152.233,POST,https://c2e-prod-devices.azure-api.net/v1/doverfs.com/gds/stamp/v1/tenent/devices/1da02d00-5761-b1bc-a370-44b5923ae9d9/requests,HTTP/1.1,200,POST,https://api.dfsdx.com/v1/doverfs.com/gds/stamp/v1/tenent/devices/1da02d00-5761-b1bc-a370-44b5923ae9d9/requests,200,HTTP/1.1,1890,222,none,935
